City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Upernavik,GL,72.7868,-56.1549,7.12,98,98,10.8,overcast clouds
80,Port Augusta,AU,-32.5,137.7667,71.65,32,7,2.13,clear sky
81,Porto Novo,BJ,6.4965,2.6036,81.32,83,100,8.16,overcast clouds
82,Oksfjord,NO,70.2396,22.3479,10.99,87,82,7.47,broken clouds
83,Pochutla,MX,15.7432,-96.4661,82.81,59,32,4.65,scattered clouds
84,Senno,RU,59.5336,33.9167,12.47,96,23,3.71,few clouds
85,Castro,BR,-24.7911,-50.0119,58.55,97,100,9.08,overcast clouds
86,Albany,US,42.6001,-73.9662,41.92,59,100,5.1,overcast clouds
87,Yumen,CN,40.2833,97.2,49.59,13,1,17.47,clear sky
88,Busselton,AU,-33.65,115.3333,71.02,84,92,12.91,overcast clouds
89,North Platte,US,41.1239,-100.7654,61.12,32,0,6.91,clear sky
90,Kaitangata,NZ,-46.2817,169.8464,64.62,53,88,7.78,overcast clouds
91,Roma,US,43.2128,-75.4557,38.52,61,0,3.44,clear sky
92,East London,ZA,-33.0153,27.9116,67.39,87,100,12.95,light rain
93,Ribeira Grande,PT,38.5167,-28.7,59.9,74,100,19.51,overcast clouds
94,Mattru,SL,7.6244,-11.8332,75.0,95,100,3.11,overcast clouds
95,Boa Vista,BR,2.8197,-60.6733,85.98,54,75,9.22,broken clouds
96,Vaini,TO,-21.2,-175.2,86.16,74,40,5.75,scattered clouds
97,Saldanha,ZA,-33.0117,17.9442,60.04,81,0,11.54,clear sky
98,Abha,SA,18.2164,42.5053,57.45,18,0,0.0,clear sky
99,Rio Gallegos,AR,-51.6226,-69.2181,41.05,81,0,9.22,clear sky
100,Tomatlan,MX,19.9333,-105.25,74.05,65,4,5.66,clear sky
101,Belmonte,BR,-15.8631,-38.8828,76.57,84,7,5.28,clear sky
102,Celestun,MX,20.8667,-90.4,78.84,83,56,14.52,broken clouds
103,Jackson,US,42.4165,-122.8345,67.08,20,0,3.44,clear sky
104,Madang,PG,-5.2246,145.7966,83.59,71,100,2.53,overcast clouds
105,Syracuse,IT,37.0881,15.2792,44.31,60,100,14.29,overcast clouds
106,Lianran,CN,24.9227,102.485,48.42,80,25,1.86,scattered clouds
107,Ponta Do Sol,PT,32.6667,-17.1,62.01,81,100,10.22,overcast clouds
108,Port Elizabeth,ZA,-33.918,25.5701,63.32,99,100,8.99,overcast clouds
109,Lillooet,CA,50.6856,-121.942,48.56,56,100,6.53,overcast clouds
110,Cherskiy,RU,68.75,161.3,0.61,83,92,3.53,overcast clouds
111,Luwero,UG,0.8492,32.4731,65.39,94,100,2.19,overcast clouds
112,Belize,BZ,17.25,-88.75,88.12,88,0,3.4,clear sky
113,Liwale,TZ,-9.7667,37.9333,67.32,99,42,1.32,scattered clouds
114,Algiers,DZ,36.7525,3.042,39.02,93,20,3.44,few clouds
115,Egvekinot,RU,66.3167,-179.1667,-2.49,81,9,14.81,clear sky
116,Te Anau,NZ,-45.4167,167.7167,68.02,38,89,0.34,overcast clouds
117,Yazykovo,RU,55.2199,56.1353,32.13,94,100,5.91,overcast clouds
118,Kanata,CA,45.3159,-75.8985,39.34,56,100,1.01,overcast clouds
119,Cidreira,BR,-30.1811,-50.2056,70.56,77,2,19.55,clear sky
120,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,21.85,scattered clouds
121,Arona,ES,28.0996,-16.681,58.12,74,40,3.44,scattered clouds
122,Mataura,NZ,-46.1927,168.8643,63.41,55,39,6.87,scattered clouds
123,Cayenne,GF,4.9333,-52.3333,80.1,1,75,4.0,broken clouds
124,Lebu,CL,-37.6167,-73.65,53.78,80,86,16.4,overcast clouds
125,Taltal,CL,-25.4,-70.4833,63.82,77,0,5.17,clear sky
126,Pisco,PE,-13.7,-76.2167,66.25,82,0,13.8,clear sky
127,Mount Pleasant,US,32.7941,-79.8626,63.0,87,0,4.61,clear sky
128,Katsuura,JP,35.1333,140.3,48.22,75,100,13.78,light rain
129,Khatanga,RU,71.9667,102.5,-3.06,96,100,9.33,overcast clouds
130,Faanui,PF,-16.4833,-151.75,82.29,70,11,5.17,few clouds
131,Guerrero Negro,MX,27.9769,-114.0611,62.42,66,71,14.74,broken clouds
132,Jawa,JO,31.8525,35.9393,53.38,50,100,0.0,overcast clouds
133,Avarua,CK,-21.2078,-159.775,84.25,74,75,5.75,broken clouds
134,Sisimiut,GL,66.9395,-53.6735,25.79,96,100,4.68,overcast clouds
135,Sechura,PE,-5.5569,-80.8222,72.34,73,74,17.74,broken clouds
136,Bhuj,IN,23.2667,69.6667,74.82,63,0,7.85,clear sky
137,Areosa,PT,41.7178,-8.8571,43.29,67,0,11.01,clear sky
138,Deputatskiy,RU,69.3,139.9,-4.58,92,100,2.98,overcast clouds
139,Ramhormoz,IR,31.28,49.6035,72.46,19,14,3.94,few clouds
140,Corrente,BR,-3.7367,-43.3394,73.06,97,100,2.01,overcast clouds
141,Tolstoy-Yurt,RU,43.4444,45.7722,55.72,67,0,11.18,clear sky
142,Strezhevoy,RU,60.7333,77.5889,2.98,98,100,3.33,overcast clouds
143,Hasaki,JP,35.7333,140.8333,50.29,57,100,14.81,light rain
144,Hyeres,FR,43.1167,6.1167,42.73,57,0,5.75,clear sky
145,Vostok,RU,46.4856,135.8833,38.46,71,0,8.39,clear sky
146,Torbay,CA,47.6666,-52.7314,36.57,87,100,5.99,overcast clouds
147,Arraial Do Cabo,BR,-22.9661,-42.0278,76.51,88,100,14.74,overcast clouds
148,Sabang,ID,5.8933,95.3214,80.13,74,100,3.33,light rain
149,Kidal,ML,18.4411,1.4078,85.51,11,0,9.44,clear sky
150,Victoria,HK,22.2855,114.1577,64.96,56,46,11.01,scattered clouds
151,San Andres,CO,12.5847,-81.7006,79.93,79,100,14.36,overcast clouds
152,Jiujiang,CN,29.7333,115.9833,59.81,60,0,6.98,clear sky
153,Templin,DE,53.1186,13.5022,31.17,74,16,5.93,few clouds
154,Innisfail,AU,-17.5333,146.0333,83.7,67,100,4.81,overcast clouds
155,San Ramon,US,37.7799,-121.978,78.42,38,0,13.8,clear sky
156,Tyssedal,NO,60.1165,6.562,36.88,98,100,1.41,overcast clouds
157,Abu Dhabi,AE,24.4667,54.3667,71.96,87,0,2.3,clear sky
158,Zambezi,ZM,-13.5432,23.1047,65.59,89,98,5.14,overcast clouds
159,Sola,VU,-13.8833,167.55,81.86,76,100,13.58,moderate rain
160,Tuatapere,NZ,-46.1333,167.6833,61.39,63,19,8.1,few clouds
161,Kahului,US,20.8947,-156.47,82.42,63,0,27.63,clear sky
162,Namibe,AO,-15.1961,12.1522,70.79,84,100,4.38,light rain
163,Valdez,EC,1.2492,-78.9831,80.24,81,100,7.49,light rain
164,Zhigansk,RU,66.7697,123.3711,10.69,96,99,7.7,overcast clouds
165,Olafsvik,IS,64.8945,-23.7142,42.69,98,100,10.58,light rain
166,Sandakan,MY,5.8402,118.1179,77.74,88,100,1.05,overcast clouds
167,Porgera,PG,-5.4667,143.2,59.29,54,45,3.58,scattered clouds
168,Half Moon Bay,US,37.4636,-122.4286,77.02,49,0,20.71,haze
169,Fort-Shevchenko,KZ,44.5086,50.263,50.54,64,11,6.46,few clouds
170,Dali,CN,25.7,100.1833,46.06,79,84,2.89,broken clouds
171,La Huacana,MX,18.9667,-101.8167,81.91,27,68,4.52,broken clouds
172,Tapes,BR,-30.6733,-51.3958,68.74,82,8,16.91,clear sky
173,Tuktoyaktuk,CA,69.4541,-133.0374,-6.02,89,100,5.21,overcast clouds
174,Nemuro,JP,43.3236,145.575,38.25,71,1,14.29,clear sky
175,Aklavik,CA,68.2191,-135.0107,-5.48,87,100,5.93,overcast clouds
176,Kashi,CN,39.4547,75.9797,55.76,32,100,0.98,overcast clouds
177,Ogaminana,NG,7.5946,6.2248,77.52,76,80,7.4,broken clouds
178,Idrinskoye,RU,54.3708,92.1358,30.25,88,100,2.64,overcast clouds
179,Miguel Hidalgo,MX,19.4225,-99.2028,80.01,22,40,13.8,scattered clouds
180,Mamu Kanjan,PK,30.8333,72.8,69.46,10,0,1.54,clear sky
181,Araouane,ML,18.9048,-3.5265,83.43,13,2,9.91,clear sky
182,High Level,CA,58.5169,-117.136,22.89,82,100,1.01,overcast clouds
183,Jalu,LY,29.0331,21.5482,73.85,14,100,7.43,overcast clouds
184,Cockburn Town,TC,21.4612,-71.1419,77.88,78,0,19.19,clear sky
185,Cerrito,CO,6.8432,-72.694,54.82,90,67,5.86,broken clouds
186,Pangkalanbuun,ID,-2.6833,111.6167,81.86,77,100,2.66,overcast clouds
187,Coquimbo,CL,-29.9533,-71.3436,55.13,94,20,3.44,few clouds
188,Lagoa,PT,39.05,-27.9833,58.53,77,100,17.9,overcast clouds
189,Norman Wells,CA,65.282,-126.8329,3.27,83,100,3.31,overcast clouds
190,Alofi,NU,-19.0595,-169.9187,80.83,72,81,11.41,light rain
191,Kutum,SD,14.2,24.6667,71.58,17,45,7.61,scattered clouds
192,Bansko,BG,41.8383,23.4885,36.54,93,100,4.83,overcast clouds
193,Chuy,UY,-33.6971,-53.4616,62.62,78,0,10.94,clear sky
194,Barrow,US,71.2906,-156.7887,-2.18,71,0,13.8,clear sky
195,La Ronge,CA,55.1001,-105.2842,30.58,90,100,3.83,overcast clouds
196,Antofagasta,CL,-23.65,-70.4,61.88,81,29,4.05,scattered clouds
197,Shimanovsk,RU,52.0,127.7,39.33,68,100,12.44,overcast clouds
198,Martapura,ID,-3.4167,114.85,83.14,70,100,1.12,overcast clouds
199,Naruja,GE,41.9069,41.9542,50.32,64,100,3.69,overcast clouds
200,Makakilo City,US,21.3469,-158.0858,82.72,60,40,20.71,scattered clouds
201,Qandala,SO,11.472,49.8728,82.54,42,0,6.06,clear sky
202,Xining,CN,36.6167,101.7667,41.7,33,100,2.98,overcast clouds
203,Nelson Bay,AU,-32.7167,152.15,73.0,63,100,13.69,overcast clouds
204,Furano,JP,43.2818,142.4743,38.82,70,13,5.79,few clouds
205,Luderitz,NA,-26.6481,15.1594,58.21,85,0,10.58,clear sky
206,Nadvoitsy,RU,63.8667,34.3167,11.77,95,95,5.26,overcast clouds
207,Naron,ES,43.5167,-8.1528,46.02,82,16,6.42,few clouds
208,Itarema,BR,-2.9248,-39.9167,74.8,90,89,8.3,overcast clouds
209,Belluno,IT,46.145,12.2214,38.89,90,100,3.0,overcast clouds
210,Sarakhs,IR,36.5449,61.1577,61.14,34,0,11.68,clear sky
211,Tefe,BR,-3.3542,-64.7114,71.2,98,100,2.57,light rain
212,Chester,US,40.1254,-75.8749,45.18,64,0,1.01,clear sky
213,Alice Springs,AU,-23.7,133.8833,72.95,32,0,12.66,clear sky
214,Merauke,ID,-8.4667,140.3333,83.14,70,81,2.13,broken clouds
215,Mansa,IN,29.9833,75.3833,68.22,14,0,7.49,clear sky
216,Berlevag,NO,70.8578,29.0864,19.2,82,100,21.45,light snow
217,Bethel,US,41.3712,-73.414,45.93,57,0,3.44,clear sky
218,Kapaa,US,22.0752,-159.319,80.58,79,75,20.71,broken clouds
219,Gat,IL,31.61,34.7642,74.39,46,100,4.12,overcast clouds
220,Dongli,CN,23.5656,116.8194,60.49,62,99,5.7,overcast clouds
221,Hami,CN,42.8,93.45,51.91,21,47,7.94,scattered clouds
222,Mount Isa,AU,-20.7333,139.5,89.37,17,5,10.36,clear sky
223,Gornyak,RU,50.9942,81.4661,26.02,93,25,4.09,scattered clouds
224,Gazojak,TM,41.1875,61.4036,59.67,33,51,11.83,broken clouds
225,Udachnyy,RU,66.4167,112.4,12.45,92,100,2.64,overcast clouds
226,Yashkul,RU,46.1711,45.3435,57.54,65,100,9.31,overcast clouds
227,Aleksandriyskaya,RU,44.2272,43.3453,47.03,58,97,1.86,overcast clouds
228,Medicine Hat,CA,50.0501,-110.6683,51.85,55,18,1.99,few clouds
229,Hambantota,LK,6.1241,81.1185,78.28,82,2,3.91,clear sky
230,Blagoyevo,RU,63.3667,47.9167,4.51,98,95,3.4,overcast clouds
231,Pilar,BR,-9.5972,-35.9567,73.33,90,21,3.0,few clouds
232,Buala,SB,-8.145,159.5921,82.74,79,98,8.99,light rain
233,Guanare,VE,9.0418,-69.7421,83.73,49,8,4.76,clear sky
234,Matadi,CD,-5.8167,13.45,76.3,97,100,3.27,light rain
235,Great Yarmouth,GB,52.6083,1.7305,33.03,74,11,8.55,few clouds
236,Belozerskoye,RU,55.8214,65.5842,33.75,100,100,3.24,overcast clouds
237,Saint-Augustin,CA,51.226,-58.6502,32.76,97,100,15.93,snow
238,Codrington,AU,-38.2667,141.9667,63.86,65,97,5.95,overcast clouds
239,Padang,ID,-0.9492,100.3543,75.25,72,11,2.59,few clouds
240,Hofn,IS,64.2539,-15.2082,41.04,84,100,5.08,moderate rain
241,Kamiiso,JP,41.8167,140.65,45.99,51,5,9.84,clear sky
242,Richards Bay,ZA,-28.783,32.0377,70.52,97,31,1.68,light rain
243,Barranca,PE,-10.75,-77.7667,68.77,84,94,7.61,overcast clouds
244,Ilulissat,GL,69.2167,-51.1,24.82,80,100,4.61,overcast clouds
245,Comrat,MD,46.3003,28.6572,47.21,84,100,5.64,overcast clouds
246,Pucallpa,PE,-8.3791,-74.5539,75.24,83,75,3.44,broken clouds
247,Kushima,JP,31.4583,131.2333,58.46,54,100,8.48,overcast clouds
248,Arman,RU,59.7,150.1667,23.02,51,100,0.78,overcast clouds
249,Tetouan,MA,35.5711,-5.3724,53.94,79,99,13.58,overcast clouds
250,Thurso,GB,58.5927,-3.5259,39.85,77,100,12.77,overcast clouds
251,Tsabong,BW,-26.0217,22.401,71.4,66,0,8.88,clear sky
252,Silchar,IN,24.8167,92.8,73.83,78,5,1.81,clear sky
253,Klaksvik,FO,62.2266,-6.589,45.52,90,100,20.2,overcast clouds
254,Kieta,PG,-6.2167,155.6333,83.5,77,16,8.03,light rain
255,Constitucion,CL,-35.3333,-72.4167,57.56,97,100,7.81,overcast clouds
256,San Patricio,US,28.017,-97.5169,82.17,74,0,12.55,clear sky
257,Yinchuan,CN,38.4681,106.2731,47.23,20,0,5.97,clear sky
258,Harper,LR,4.375,-7.7169,78.67,87,100,8.77,light rain
259,Bubaque,GW,11.2833,-15.8333,74.37,70,91,16.89,overcast clouds
260,Nuevo Progreso,MX,23.1667,-97.95,75.54,75,45,1.01,scattered clouds
