City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
100,Tomatlan,MX,74.05,clear sky,19.9333,-105.25,El Salvial
101,Belmonte,BR,76.57,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
102,Celestun,MX,78.84,broken clouds,20.8667,-90.4,Posada Lilia
103,Jackson,US,67.08,clear sky,42.4165,-122.8345,Agate Village Apartments
104,Madang,PG,83.59,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
105,Syracuse,IT,44.31,overcast clouds,37.0881,15.2792,Hotel Posta
106,Lianran,CN,48.42,scattered clouds,24.9227,102.485,半岛酒店
107,Ponta Do Sol,PT,62.01,overcast clouds,32.6667,-17.1,Hotel do Campo
108,Port Elizabeth,ZA,63.32,overcast clouds,-33.918,25.5701,39 On Nile Guest House
109,Lillooet,CA,48.56,overcast clouds,50.6856,-121.942,Hotel Victoria
111,Luwero,UG,65.39,overcast clouds,0.8492,32.4731,Forgettable
113,Liwale,TZ,67.32,scattered clouds,-9.7667,37.9333,Nakivubo Executive Lodge
116,Te Anau,NZ,68.02,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
119,Cidreira,BR,70.56,clear sky,-30.1811,-50.2056,Hotel Castelo
120,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
121,Arona,ES,58.12,scattered clouds,28.0996,-16.681,Paradise Court
122,Mataura,NZ,63.41,scattered clouds,-46.1927,168.8643,Ellie's Villa
123,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
124,Lebu,CL,53.78,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
125,Taltal,CL,63.82,clear sky,-25.4,-70.4833,Residencial Karime
126,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
127,Mount Pleasant,US,63.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
128,Katsuura,JP,48.22,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
130,Faanui,PF,82.29,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
131,Guerrero Negro,MX,62.42,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
132,Jawa,JO,53.38,overcast clouds,31.8525,35.9393,زياد الدلالشه
133,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
135,Sechura,PE,72.34,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
136,Bhuj,IN,74.82,clear sky,23.2667,69.6667,Regenta Resort Bhuj
