City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Dedza,MW,2022-03-31 14:25:09,-14.3779,34.3332,65.44,87,60,2.91
68,Srednekolymsk,RU,2022-03-31 14:25:10,67.45,153.6833,-17.36,100,91,1.43
69,Beringovskiy,RU,2022-03-31 14:25:10,63.05,179.3167,2.61,94,100,18.88
70,Esso,RU,2022-03-31 14:25:10,55.9333,158.7,11.89,97,99,3.51
71,Vaini,TO,2022-03-31 14:25:11,-21.2,-175.2,79.38,83,100,11.97
72,Cape Town,ZA,2022-03-31 14:24:33,-33.9258,18.4232,73.11,58,0,23.02
73,Cabo San Lucas,MX,2022-03-31 14:25:11,22.8909,-109.9124,67.51,69,100,5.12
74,Cap Malheureux,MU,2022-03-31 14:21:56,-19.9842,57.6142,78.48,79,96,10.0
75,Tuktoyaktuk,CA,2022-03-31 14:25:12,69.4541,-133.0374,-23.8,76,75,11.5
76,Kasongo-Lunda,CD,2022-03-31 14:25:12,-6.4667,16.8167,89.6,52,71,2.37
77,Kavieng,PG,2022-03-31 14:20:35,-2.5744,150.7967,82.02,78,100,11.97
78,Poum,NC,2022-03-31 14:18:56,-20.2333,164.0167,80.96,78,10,5.91
79,Yangambi,CD,2022-03-31 14:25:14,0.8102,24.4336,94.03,35,82,2.48
80,Kapaa,US,2022-03-31 14:25:15,22.0752,-159.319,73.72,94,40,14.97
81,Saskylakh,RU,2022-03-31 14:25:16,71.9167,114.0833,5.74,97,99,5.12
82,Puerto Ayora,EC,2022-03-31 14:25:17,-0.7393,-90.3518,80.56,99,100,3.0
83,Yulara,AU,2022-03-31 14:25:17,-25.2406,130.9889,73.24,28,99,11.5
84,Lodwar,KE,2022-03-31 14:25:17,3.1191,35.5973,94.21,30,67,20.69
85,Atuona,PF,2022-03-31 14:25:17,-9.8,-139.0333,78.28,73,13,9.91
86,Yellowknife,CA,2022-03-31 14:25:18,62.456,-114.3525,12.42,74,75,5.75
87,Aykhal,RU,2022-03-31 14:25:18,66.0,111.5,23.11,97,100,7.58
88,Udachnyy,RU,2022-03-31 14:24:16,66.4167,112.4,25.45,49,100,6.4
89,Yomou,GN,2022-03-31 14:25:20,7.5603,-9.2653,97.27,33,10,3.65
90,Norman Wells,CA,2022-03-31 14:25:20,65.282,-126.8329,-16.56,63,20,16.11
91,Santa Fe,AR,2022-03-31 14:25:21,-31.6333,-60.7,63.0,40,49,1.99
92,Bethel,US,2022-03-31 14:25:22,41.3712,-73.414,52.16,92,100,3.44
93,Bassar,TG,2022-03-31 14:26:22,9.25,0.7833,105.46,17,100,4.18
94,Esperance,AU,2022-03-31 14:26:26,-33.8667,121.9,64.24,81,100,20.4
95,Clyde River,CA,2022-03-31 14:26:26,70.4692,-68.5914,1.63,78,40,8.05
96,Egvekinot,RU,2022-03-31 14:26:27,66.3167,-179.1667,2.89,90,97,14.36
97,Svetlyy,RU,2022-03-31 14:26:27,54.675,20.1347,37.96,32,69,12.41
98,Biltine,TD,2022-03-31 14:26:27,14.5333,20.9167,101.43,4,5,1.16
99,Port Elizabeth,ZA,2022-03-31 14:27:22,-33.918,25.5701,69.1,83,100,15.01
100,Georgetown,MY,2022-03-31 14:29:28,5.4112,100.3354,80.53,94,20,3.44
101,Andujar,ES,2022-03-31 14:29:29,38.0392,-4.0508,63.09,53,75,13.71
102,Hermanus,ZA,2022-03-31 14:29:29,-34.4187,19.2345,69.8,62,38,11.05
103,Lukovetskiy,RU,2022-03-31 14:29:29,64.2956,41.9211,26.38,86,99,5.5
104,Avarua,CK,2022-03-31 14:29:30,-21.2078,-159.775,73.45,100,0,1.14
105,North Vernon,US,2022-03-31 14:29:30,39.0062,-85.6236,44.96,84,100,14.0
106,Alofi,NU,2022-03-31 14:22:11,-19.0595,-169.9187,71.49,94,83,0.0
107,Bandarbeyla,SO,2022-03-31 14:29:32,9.4942,50.8122,82.2,74,4,11.39
108,Yanam,IN,2022-03-31 14:29:32,16.7333,82.2167,82.24,77,6,8.7
109,Macae,BR,2022-03-31 14:29:32,-22.3708,-41.7869,87.55,62,20,10.36
110,Presidencia Roque Saenz Pena,AR,2022-03-31 14:29:34,-26.7852,-60.4388,62.19,34,4,8.16
111,Saint George,US,2022-03-31 14:28:09,37.1041,-113.5841,53.8,54,20,3.44
112,Pevek,RU,2022-03-31 14:29:35,69.7008,170.3133,-21.62,99,98,5.21
113,Klaksvik,FO,2022-03-31 14:29:35,62.2266,-6.589,40.12,63,100,6.96
114,Port Macquarie,AU,2022-03-31 14:29:35,-31.4333,152.9167,62.89,78,67,18.68
115,Olafsvik,IS,2022-03-31 14:29:35,64.8945,-23.7142,39.13,79,99,7.0
116,Grindavik,IS,2022-03-31 14:29:36,63.8424,-22.4338,43.27,65,75,6.91
117,Khokhlovo,RU,2022-03-31 14:29:36,59.1492,37.3998,33.82,70,68,5.86
118,Dori,BF,2022-03-31 14:29:36,14.0354,-0.0345,103.03,3,5,1.5
119,Vardo,NO,2022-03-31 14:21:47,70.3705,31.1107,27.7,65,100,16.64
120,Qaanaaq,GL,2022-03-31 14:29:37,77.484,-69.3632,19.02,69,49,7.81
121,Ilulissat,GL,2022-03-31 14:24:42,69.2167,-51.1,17.62,93,100,3.44
122,Jamestown,US,2022-03-31 14:29:37,42.097,-79.2353,63.01,61,100,19.57
123,Oranjemund,NA,2022-03-31 14:29:37,-28.55,16.4333,65.03,71,2,20.09
124,Hit,IQ,2022-03-31 14:29:38,33.6416,42.8251,83.52,10,0,8.37
125,Tuatapere,NZ,2022-03-31 14:29:38,-46.1333,167.6833,49.08,87,100,3.74
126,Verkhnyaya Inta,RU,2022-03-31 14:29:38,65.9811,60.3094,19.65,83,100,11.95
127,Concepcion,CL,2022-03-31 14:29:22,-36.827,-73.0498,55.2,62,0,8.05
128,Sao Filipe,CV,2022-03-31 14:29:39,14.8961,-24.4956,72.28,75,6,12.95
129,Turbat,PK,2022-03-31 14:29:39,26.0023,63.044,93.02,3,0,22.41
130,Codrington,AU,2022-03-31 14:29:39,-38.2667,141.9667,59.09,59,100,16.8
131,Carnarvon,AU,2022-03-31 14:29:40,-24.8667,113.6333,71.67,94,100,13.8
132,Loma Bonita,PA,2022-03-31 14:29:40,8.3833,-80.1667,85.55,62,20,4.61
133,Gizo,SB,2022-03-31 14:29:40,-8.103,156.8419,83.5,74,92,6.71
134,Khatanga,RU,2022-03-31 14:29:40,71.9667,102.5,7.38,94,34,7.7
135,Fort Morgan,US,2022-03-31 14:29:41,40.2503,-103.8,29.05,80,0,9.22
136,Chino Valley,US,2022-03-31 14:29:41,34.7575,-112.4538,52.83,61,0,1.99
137,Kirovskiy,RU,2022-03-31 14:30:41,45.0917,133.5136,28.63,72,97,7.63
138,Ahipara,NZ,2022-03-31 14:29:26,-35.1667,173.1667,62.64,91,52,2.95
139,Touros,BR,2022-03-31 14:30:42,-5.1989,-35.4608,81.41,77,99,11.7
140,Hofn,IS,2022-03-31 14:30:43,64.2539,-15.2082,39.22,56,20,2.3
141,Fortuna,US,2022-03-31 14:29:27,40.5982,-124.1573,41.92,95,0,6.91
142,Makakilo City,US,2022-03-31 14:30:45,21.3469,-158.0858,72.68,87,20,4.61
